200	day	f010
200	neutral	f01e
200	night	f02d
201	day	f010
201	neutral	f01e
201	night	f02d
202	day	f010
202	neutral	f01e
202	night	f02d
210	day	f005
210	neutral	f016
210	night	f025
211	day	f005
211	neutral	f016
211	night	f025
212	day	f005
212	neutral	f016
212	night	f025
221	day	f005
221	neutral	f016
221	night	f025
230	day	f010
230	neutral	f01e
230	night	f02d
231	day	f010
231	neutral	f01e
231	night	f02d
232	day	f010
232	neutral	f01e
232	night	f02d
300	day	f00b
300	neutral	f01c
300	night	f02b
301	day	f00b
301	neutral	f01c
301	night	f02b
302	day	f008
302	neutral	f019
302	night	f028
310	day	f008
310	neutral	f017
310	night	f028
311	day	f008
311	neutral	f019
311	night	f028
312	day	f008
312	neutral	f019
312	night	f028
313	day	f008
313	neutral	f01a
313	night	f028
314	day	f008
314	neutral	f019
314	night	f028
321	day	f00b
321	neutral	f01c
321	night	f02b
500	day	f00b
500	neutral	f01c
500	night	f02b
501	day	f008
501	neutral	f019
501	night	f028
502	day	f008
502	neutral	f019
502	night	f028
503	day	f008
503	neutral	f019
503	night	f028
504	day	f008
504	neutral	f019
504	night	f028
511	day	f006
511	neutral	f017
511	night	f026
520	day	f009
520	neutral	f01a
520	night	f029
521	day	f009
521	neutral	f01a
521	night	f029
522	day	f009
522	neutral	f01a
522	night	f029
531	day	f00e
531	neutral	f01d
531	night	f02c
600	day	f00a
600	neutral	f01b
600	night	f02a
601	day	f0b2
601	neutral	f01b
601	night	f0b4
602	day	f00a
602	neutral	f0b5
602	night	f02a
611	day	f006
611	neutral	f017
611	night	f026
612	day	f006
612	neutral	f017
612	night	f026
615	day	f006
615	neutral	f017
615	night	f026
616	day	f006
616	neutral	f017
616	night	f026
620	day	f006
620	neutral	f017
620	night	f026
621	day	f00a
621	neutral	f01b
621	night	f02a
622	day	f00a
622	neutral	f01b
622	night	f02a
701	day	f003
701	neutral	f014
701	night	f04a
711	day	f062
711	neutral	f062
711	night	f062
721	day	f0b6
721	neutral	f0b6
721	night	f0b6
731	day	f063
731	neutral	f063
731	night	f063
741	day	f003
741	neutral	f014
741	night	f04a
761	day	f063
761	neutral	f063
761	night	f063
762	day	f063
762	neutral	f063
762	night	f063
771	neutral	f011
781	day	f056
781	neutral	f056
781	night	f056
800	day	f00d
800	neutral	f00d
800	night	f02e
801	day	f002
801	neutral	f041
801	night	f081
802	day	f002
802	neutral	f041
802	night	f086
803	day	f013
803	neutral	f013
803	night	f013
804	day	f013
804	neutral	f013
804	night	f013
900	day	f056
900	neutral	f056
900	night	f056
901	neutral	f01d
902	day	f073
902	neutral	f073
902	night	f073
903	day	f076
903	neutral	f076
903	night	f076
904	day	f072
904	neutral	f072
904	night	f072
905	neutral	f021
906	day	f004
906	neutral	f015
906	night	f024
957	day	f050
957	neutral	f050
957	night	f050
